id,byline,image_url,url,section,publisher,title,date
2769793,,,https://nos.nl/artikel/2368834-kamerleden-geschokt-willen-uitleg-kabinet-over-rapport-turkije.html,Politiek,NOS nieuws,"Kamerleden geschokt, willen uitleg kabinet over rapport Turkije",2021-02-15T15:11:12
2769794,,,https://nos.nl/artikel/2368833-podcast-de-stemming-schaatsende-hoekstra-krijgt-politieke-bodycheck.html,Binnenland | Politiek,NOS nieuws,Podcast De Stemming: Schaatsende Hoekstra krijgt politieke bodycheck,2021-02-15T15:09:35
2769810,,,https://nos.nl/artikel/2368808-onderwijsbond-annuleert-verkiezingsdebat-vanwege-visie-pvv.html,Binnenland | Politiek,NOS nieuws,Onderwijsbond annuleert verkiezingsdebat vanwege visie PVV,2021-02-15T10:47:52
2769820,,,https://nos.nl/nieuwsuur/artikel/2368881-grote-winkelketens-willen-speciale-steunregeling-maar-moeten-dan-geduld-hebben.html,Economie,Nieuwsuur,"Grote winkelketens willen speciale steunregeling, maar moeten dan geduld hebben",2021-02-15T22:59:48
2769821,,,https://nos.nl/nieuwsuur/artikel/2368860-helpt-sociale-werkplek-karolijne-en-freddy-wel-aan-een-vaste-baan.html,Binnenland,Nieuwsuur,Helpt sociale werkplek Karolijne en Freddy wél aan een vaste baan?,2021-02-15T20:03:05
2769860,,,https://nos.nl/artikel/2368693-pvda-lijsttrekker-ploumen-hogere-belastingen-voor-rijken-en-grote-bedrijven.html,Politiek,NOS nieuws,PvdA-lijsttrekker Ploumen: hogere belastingen voor rijken en grote bedrijven,2021-02-14T16:31:58
2769901,,,https://nos.nl/nieuwsuur/artikel/2368771-buiten-het-binnenhof.html,Binnenland | Politiek,Nieuwsuur,Buiten het Binnenhof,2021-02-14T22:48:17
2769902,,,https://nos.nl/nieuwsuur/artikel/2368755-den-haag-moet-weg-van-het-natuurlijke-wantrouwen-tegen-de-agrarische-sector.html,Politiek,Nieuwsuur,'Den Haag moet weg van het natuurlijke wantrouwen tegen de agrarische sector',2021-02-14T20:20:01
2769906,,,https://nos.nl/artikel/2368589-ddos-aanval-op-website-pvda-en-europarlementarier-kati-piri.html,Politiek,NOS nieuws,DDoS-aanval op website PvdA en Europarlementariër Kati Piri,2021-02-13T20:46:03
2769932,,,https://nos.nl/artikel/2368507-kaag-subsidies-aan-fossiele-industrie-stoppen.html,Politiek,NOS nieuws,Kaag: subsidies aan fossiele industrie stoppen,2021-02-13T12:59:09
2769942,,,https://nos.nl/artikel/2368477-wekdienst-13-2-schaatsdrukte-verwacht-carnaval-anders-dan-anders.html,Binnenland | Buitenland,NOS nieuws,Wekdienst 13/2: Schaatsdrukte verwacht • Carnaval anders dan anders ,2021-02-13T07:46:42
2769967,,,https://nos.nl/artikel/2368467-ex-van-dion-graus-gaf-belastend-materiaal-aan-rijksrecherche.html,Politiek,NOS nieuws,'Ex van Dion Graus gaf belastend materiaal aan Rijksrecherche',2021-02-12T22:35:31
2769970,,,https://nos.nl/artikel/2368463-vvd-leider-rutte-sluit-opnieuw-coalitie-met-pvv-uit.html,Politiek,NOS nieuws,VVD-leider Rutte sluit opnieuw coalitie met PVV uit,2021-02-12T21:47:58
2770017,,,https://nos.nl/artikel/2368335-wekdienst-12-februari-eerste-vaccin-astrazeneca-toegediend-ns-rijdt-met-meer-treinen.html,Binnenland | Buitenland,NOS nieuws,Wekdienst 12 februari: Eerste vaccin AstraZeneca toegediend • NS rijdt met meer treinen,2021-02-12T07:05:54
2770019,,,https://nos.nl/artikel/2368327-d66-wil-10-miljard-extra-steken-in-onderwijs-en-kinderopvang.html,Politiek,NOS nieuws,D66 wil 10 miljard extra steken in onderwijs en kinderopvang,2021-02-12T04:56:27
2770063,,,https://nos.nl/artikel/2368256-tijdelijk-soepelere-regels-voor-vliegveldslots-om-spookvluchten-te-voorkomen.html,Binnenland | Buitenland | Economie,NOS nieuws,Tijdelijk soepelere regels voor vliegveldslots om spookvluchten te voorkomen,2021-02-11T17:28:38
2770067,,,https://nos.nl/artikel/2368246-kamer-kritisch-over-schadeclaim-om-sluiting-kolencentrale.html,Politiek,NOS nieuws,Kamer kritisch over schadeclaim om sluiting kolencentrale ,2021-02-11T16:03:11
2770084,,,https://nos.nl/artikel/2368203-gl-kamerlid-van-der-lee-voorzitter-parlementaire-enquete-groningen.html,Politiek,NOS nieuws,GL-Kamerlid Van der Lee voorzitter parlementaire enquête Groningen,2021-02-11T10:34:34
